Date/Time,SMILES,Solvent,Method 
11012021 04:31:17,CC,Water,DFT
12012021 06:07:56,Clc1c(Cl)c(c(c(c1)Cl)O)Cc2c(O)c(Cl)cc(Cl)c2Cl,Water,DFT
12012021 08:45:45,Clc1c(Cl)c(c(c(c1)Cl)O)Cc2c(O)c(Cl)cc(Cl)c2Cl,Benzene,DFT
21012021 03:55:49,CN1Cc2cc(ccc2NC(CC(=O)O)C1=O)C(=O)N3CCC(CC3)C4CCNCC4,Water,DFT
22012021 08:15:12,COC(=O)/C=C/C1CCCCC1,Acetone,PM6
24012021 06:23:03,Cc1cnc(cn1)NC(=O)c2cc(cc(c2)O[C@@H](C)COC)Oc3cnc(cn3)C(=O)N4CCC4,Ethanol,DFT
27012021 05:14:21,C1CCCC1,Water,PM6
27012021 10:47:01,c1cc2c3c(CC2)cccc3c1,Benzene,PM6
01022021 11:34:38,CN(N=O)C1=CC=CC=C1,Benzene,DFT
01022021 11:36:32,Oc1ccc(cc1)NC(=O)C,Water,DFT
03022021 14:34:56,c1ccc(C(O)C)cc1,Water,DFT
03022021 14:35:04,c1ccc(C(O)C)cc1,Benzene,DFT
19032021 18:06:13,    CC(=O)Nc1ccc(O)cc1,Ethanol,DFT
23032021 11:42:57,c1ccccc1,Benzene,PM6
